NAMESPACE   NAME                                   SYNC STATUS   HEALTH STATUS
argocd      alloy                                  Synced        Healthy
argocd      argo-rollouts                          OutOfSync     Healthy
argocd      aws-load-balancer-controller           Synced        Healthy
argocd      aws-load-balancer-controller-prereqs   Synced        Healthy
argocd      external-dns                           Synced        Healthy
argocd      external-dns-prereqs                   Synced        Healthy
argocd      external-secrets                       Synced        Healthy
argocd      external-secrets-prereqs               Synced        Healthy
argocd      istio                                  Synced        Healthy
argocd      istio-base                             OutOfSync     Healthy
argocd      istio-ingressgateway                   Synced        Healthy
argocd      istiod                                 OutOfSync     Healthy
argocd      karpenter                              Synced        Healthy
argocd      karpenter-prereqs                      OutOfSync     Degraded
argocd      karpenter-resources                    Synced        Degraded
argocd      loki                                   Synced        Healthy
argocd      metrics-server                         Synced        Healthy
argocd      monitoring                             Synced        Healthy
argocd      monitoring-resources                   Synced        Healthy
argocd      network-policies                       Synced        Healthy
argocd      nginx                                  Synced        Healthy
argocd      otel-collector                         Unknown       Healthy
argocd      platform-app                           Synced        Healthy
argocd      prometheus-crds                        Synced        Healthy
argocd      root-app                               Synced        Healthy
argocd      security                               Synced        Healthy
argocd      springboot                             Synced        Healthy
argocd      tempo                                  Synced        Healthy
argocd      workloads-app                          Synced        Healthy
